path,item_id,ds_name
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_192939_3.1_20.8.wav,VID_20240118_192939_3.1_20.8,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240116_230040_2.1_16.7.wav,VID_20240116_230040_2.1_16.7,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192312_1.9_8.9.wav,VID_20240211_192312_1.9_8.9,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240116_230132_3.3_18.8.wav,VID_20240116_230132_3.3_18.8,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192544_2.3_13.9.wav,VID_20240211_192544_2.3_13.9,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_100817_2.8_23.6.wav,VID_20240118_100817_2.8_23.6,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192614_2.3_14.1.wav,VID_20240211_192614_2.3_14.1,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_192450_3.2_16.6.wav,VID_20240118_192450_3.2_16.6,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192642_1.9_9.8.wav,VID_20240211_192642_1.9_9.8,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_192534_2.1_9.6.wav,VID_20240118_192534_2.1_9.6,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192710_2.1_9.9.wav,VID_20240211_192710_2.1_9.9,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_192657_4.7_11.4.wav,VID_20240118_192657_4.7_11.4,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192734_4.3_17.5.wav,VID_20240211_192734_4.3_17.5,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_192737_2.7_12.0.wav,VID_20240118_192737_2.7_12.0,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192808_2.7_10.7.wav,VID_20240211_192808_2.7_10.7,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_192827_2.1_12.4.wav,VID_20240118_192827_2.1_12.4,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192841_2.2_20.2.wav,VID_20240211_192841_2.2_20.2,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240131_201606_3.2_13.4.wav,VID_20240131_201606_3.2_13.4,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_192925_2.3_19.3.wav,VID_20240211_192925_2.3_19.3,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_193103_2.8_24.6.wav,VID_20240118_193103_2.8_24.6,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_193002_2.7_24.5.wav,VID_20240211_193002_2.7_24.5,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_221233_1.4_24.3.wav,VID_20240118_221233_1.4_24.3,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_193048_2.8_19.0.wav,VID_20240211_193048_2.8_19.0,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_221340_2.5_23.3.wav,VID_20240118_221340_2.5_23.3,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_193123_3.0_18.8.wav,VID_20240211_193123_3.0_18.8,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_221422_2.6_27.4.wav,VID_20240118_221422_2.6_27.4,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_193158_3.7_24.6.wav,VID_20240211_193158_3.7_24.6,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_221516_2.3_21.2.wav,VID_20240118_221516_2.3_21.2,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_193244_2.6_11.9.wav,VID_20240211_193244_2.6_11.9,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240118_221603_2.8_32.9.wav,VID_20240118_221603_2.8_32.9,PouringLiquidsData
/scratch/shared/beegfs/piyush/datasets/PouringLiquidsData/resized_clips_wav/VID_20240211_193309_2.8_11.3.wav,VID_20240211_193309_2.8_11.3,PouringLiquidsData
